"","id","use","flag","text"
"2976","C1509","Commercial Fishing, Existing","Yes","Existing use permitted to continue, unless there are significant demonstrated conflicts."
"2977","C1509","Commercial Fishing, New","Maybe","New operations can be considered, subject to the 'test of compatibility'."
"2978","C1509","Commercial Fur Harvesting, Existing","Yes","Existing use permitted to continue, unless there are significant demonstrated conflicts.  Existing trap cabins can continue."
"2979","C1509","Commercial Fur Harvesting, New","Maybe","New cabins are not permitted.  New operations can be considered, subject to the 'test of compatibility'."
"2980","C1509","Commercial Hydro Development","No","
							 
						"
"2981","C1509","Commercial Power Generation Development","No","
							 
						"
"2982","C1509","Commercial Timber Harvest","No","
							 
						"
"2983","C1509","Commercial Tourism (Services and/or Facilities), Existing","Yes","Existing authorized facilities can continue, unless there are significant demonstrated conflicts."
"2984","C1509","Commercial Tourism (Services and/or Facilities), New","Maybe","New tourism facilities can be considered during the planning for an individual reserve."
"2985","C1509","Energy Transmission and Communications Corridors, Existing","Yes","These facilities should avoid conservation reserve lands wherever possible."
"2986","C1509","Energy Transmission and Communications Corridors, New","No","
							 
						"
"2987","C1509","Food Harvest (Commercial), Existing","Maybe","
							 
						"
"2988","C1509","Food Harvest (Commercial), New","Maybe","
							 
						"
"2989","C1509","Mineral Exploration and Development","No","
							 
						"
"2990","C1509","Peat Extraction","No","
							 
						"
"2991","C1509","Wild Rice Harvesting, Existing","Yes","
							 
						"
"2992","C1509","Wild Rice Harvesting, New","Maybe","
							 
						"
"2993","C1509","Crown Land Disposition, Commercial or Public Use","Maybe","Sale of lands is not permitted, except for minor dispositions in support of existing uses (e.g., reconstruction of a septic system).  Renewals of existing leases and land use permits are permitted.  Requests for transfer of tenure will be considered in the context of the Statement of Conservation Interest or Resource Management Plan.  New leases or land use permits permitted for approved activities.  Tourism facilities can apply to upgrade tenure from LUP to lease."
"2994","C1509","Crown Land Disposition, Private Use","Maybe","Sale of lands is not permitted, except for minor dispositions in support of existing uses (e.g., reconstruction of a septic system).  Renewals of existing leases and land use permits are permitted.  Requests for transfer of tenure will be considered in the context of the Statement of Conservation Interest or Resource Management Plan.  New leases or land use permits permitted for approved activities.  Existing authorized seasonal recreation camps may be eligible for enhanced tenure, but not purchase of land."
"2995","C1509","Fire Suppression","Yes","Fire suppression policies are similar to adjacent Crown lands, unless alternative fire policies have been developed through a planning process."
"2996","C1509","Fish Habitat Management","Maybe","
							 
						"
"2997","C1509","Fish Stocking, Native Species","Maybe","Conservation Reserves policy indicates that 'featured species management' may be permitted."
"2998","C1509","Insect/disease Suppression","Maybe","
							 
						"
"2999","C1509","Inventory/Monitoring","Yes","
							 
						"
"3000","C1509","Prescribed Burning","Maybe","
							 
						"
"3001","C1509","Private Recreation Camp, Existing","Yes","Existing camps permitted to continue, and may be eligible for enhanced tenure, but not purchase of land."
"3002","C1509","Private Recreation Camp, New","No","
							 
						"
"3003","C1509","Road Development and Maintenance, Existing","Yes","Existing roads can continue to be used.  Continued use will include maintenance and may include future upgrading."
"3004","C1509","Road Development and Maintenance, New","Maybe","New roads for resource extraction will not be permitted, with the exception of necessary access to existing forest reserves for mineral exploration and development."
"3005","C1509","Vegetation Management","Maybe","Conservation Reserves policy indicates that Featured Species Management and Natural Systems Management may be permitted.  Vegetation management can be considered in a planning process."
"3006","C1509","Wildlife Population Management","Maybe","
							 
						"
"3007","C1509","All Terrain Vehicle Use, Off Trails","No","ATV off trails is not permitted except for direct retrieval of game."
"3008","C1509","All Terrain Vehicle Use, On Trails","Yes","Existing use permitted to continue where it does not adversely affect the values being protected."
"3009","C1509","Campgrounds","Maybe","
							 
						"
"3010","C1509","Food Gathering","Yes","
							 
						"
"3011","C1509","Horseback Riding (trail)","Yes","Existing use on trails permitted."
"3012","C1509","Hunting","Yes","Hunting is permitted in accordance with the Fish and Wildlife Conservation Act and regulations.  For more information, visit https://www.ontario.ca/hunting.  Some municipalities have by-laws that apply to hunting including restricting the discharge of firearms. Check with the local municipal office for details."
"3013","C1509","Motor Boat Use, Commercial","Yes","
							 
						"
"3014","C1509","Motor Boat Use, Private","Yes","
							 
						"
"3015","C1509","Mountain Bike Use","Yes","Existing use on trails permitted."
"3016","C1509","Non-motorized Recreation Travel","Yes","
							 
						"
"3017","C1509","Rock Climbing","Maybe","
							 
						"
"3018","C1509","Snowmobiling, Off Trails","No","Except for the direct retrieval of game."
"3019","C1509","Snowmobiling, On Trails","Yes","
							 
						"
"3020","C1509","Sport Fishing","Yes","Recreational fishing is permitted in accordance with the Ontario Fishery Regulations. For more information, visit https://www.ontario.ca/fishing and review the Ontario Recreational Fishing Regulations Summary or Fish ON-Line to determine the seasons, catch limits and other restrictions that apply in this area including the location of fish sanctuaries."
"3021","C1509","Trail Development, Existing","Yes","Existing authorized trails (e.g. hiking, skiing, snowmobiling) can continue unless there are significant demonstrated conflicts."
"3022","C1509","Trail Development, New","Maybe","Development of trails for a variety of activities (e.g., hiking, cross-country skiing, cycling, horseback riding, snowmobiling) can be considered as part of planning for an individual reserve."
"3023","C2312","Aggregate Extraction","No","
							 
						"
"3024","C2312","Bait Fishing, Existing","Yes","Existing use permitted to continue, unless there are significant demonstrated conflicts."
"3025","C2312","Bait Fishing, New","Maybe","New operations can be considered, subject to the 'test of compatibility'."
"3026","C2312","Bear Hunting by Non-residents (guided), Existing","Yes","Existing authorized operations permitted to continue."
"3027","C2312","Bear Hunting by Non-residents (guided), New","No","New operations not permitted."
"3028","C2312","Commercial Fishing, Existing","No","No capability within the site."
"3029","C2312","Commercial Fishing, New","No","No capability within the site."
"3030","C2312","Commercial Fur Harvesting, Existing","Yes","Existing use permitted to continue, unless there are significant demonstrated conflicts.  Existing trap cabins can continue."
"3031","C2312","Commercial Fur Harvesting, New","Maybe","New cabins are not permitted.  New operations can be considered, subject to the 'test of compatibility'."
"3032","C2312","Commercial Hydro Development","No","
							 
						"
"3033","C2312","Commercial Power Generation Development","No","
							 
						"
"3034","C2312","Commercial Timber Harvest","No","
							 
						"
"3035","C2312","Commercial Tourism (Services and/or Facilities), Existing","No","No tourism facilities exist within the site."
"3036","C2312","Commercial Tourism (Services and/or Facilities), New","No","New tourism facilities will not be permitted"
"3037","C2312","Energy Transmission and Communications Corridors, Existing","No","None on site."
"3038","C2312","Energy Transmission and Communications Corridors, New","No","
							 
						"
"3039","C2312","Food Harvest (Commercial), Existing","Maybe","Written authority required."
"3040","C2312","Food Harvest (Commercial), New","Maybe","Written authority required."
"3041","C2312","Mineral Exploration and Development","No","
							 
						"
"3042","C2312","Peat Extraction","No","
							 
						"
"3043","C2312","Wild Rice Harvesting, Existing","Yes","No known capability on the site."
"3044","C2312","Wild Rice Harvesting, New","Maybe","No known capability on the site."
"3045","C2312","Crown Land Disposition, Commercial or Public Use","No","Sale of lands is not permitted. No commercial land or development currently exists in the area; no future disposition or development will be permitted"
"3046","C2312","Crown Land Disposition, Private Use","No","Sale of lands is not permitted. No private land or development currently exists in the area; no future disposition or development will be permitted"
"3047","C2312","Fire Suppression","Yes","Forest fire protection will be carried out as on surrounding public lands, unless alternative direction is approved through a Statement of Conservation Interest or a Resource Management Plan. Whenever feasible “light on the land” techniques, which do not unduly disturb the landscape will be employed."
"3048","C2312","Fish Habitat Management","Maybe","
							 
						"
"3049","C2312","Fish Stocking, Native Species","Maybe","Conservation Reserves policy indicates that 'featured species management' may be permitted."
"3050","C2312","Insect/disease Suppression","Maybe","
							 
						"
"3051","C2312","Inventory/Monitoring","Yes","
							 
						"
"3052","C2312","Prescribed Burning","Maybe","Subject to the development of a more detailed resource management plan"
"3053","C2312","Private Recreation Camp, Existing","No","No private recreation camps currently exist in the area."
"3054","C2312","Private Recreation Camp, New","No","
							 
						"
"3055","C2312","Road Development and Maintenance, Existing","No","No roads exist in this site."
"3056","C2312","Road Development and Maintenance, New","No","New roads for resource extraction will not be permitted"
"3057","C2312","Vegetation Management","Maybe","Conservation Reserves policy indicates that Featured Species Management and Natural Systems Management may be permitted.  Vegetation management can be considered in a planning process"
"3058","C2312","Wildlife Population Management","Maybe","
							 
						"
"3059","C2312","All Terrain Vehicle Use, Off Trails","No","ATV off trails is not permitted except for direct retrieval of game."
"3060","C2312","All Terrain Vehicle Use, On Trails","Yes","Existing use permitted to continue where it does not adversely affect the values being protected."
"3061","C2312","Campgrounds","Maybe","
							 
						"
"3062","C2312","Food Gathering","Yes","
							 
						"
"3063","C2312","Horseback Riding (trail)","Yes","Existing use on trails permitted."
"3064","C2312","Hunting","Yes","Hunting is permitted in accordance with the Fish and Wildlife Conservation Act and regulations.  For more information, visit https://www.ontario.ca/hunting.  Some municipalities have by-laws that apply to hunting including restricting the discharge of firearms. Check with the local municipal office for details."
"3065","C2312","Motor Boat Use, Commercial","Maybe","Traditional use of motor boats is permitted. New boat caches are not permitted."
"3066","C2312","Motor Boat Use, Private","Maybe","Traditional use of motor boats is permitted. New boat caches are not permitted."
"3067","C2312","Mountain Bike Use","Yes","Existing use on trails permitted."
"3068","C2312","Non-motorized Recreation Travel","Yes","
							 
						"
"3069","C2312","Rock Climbing","Maybe","
							 
						"
"3070","C2312","Snowmobiling, Off Trails","No","Except for the direct retrieval of game."
"3071","C2312","Snowmobiling, On Trails","Yes","
							 
						"
"3072","C2312","Sport Fishing","Yes","Recreational fishing is permitted in accordance with the Ontario Fishery Regulations. For more information, visit https://www.ontario.ca/fishing and review the Ontario Recreational Fishing Regulations Summary or Fish ON-Line to determine the seasons, catch limits and other restrictions that apply in this area including the location of fish sanctuaries."
"3073","C2312","Trail Development, Existing","Yes","Existing authorized trails (e.g. hiking, skiing, snowmobiling) can continue unless there are significant demonstrated conflicts."
"3074","C2312","Trail Development, New","Maybe","Development of trails for a variety of activities (e.g., hiking, cross-country skiing, cycling, horseback riding, snowmobiling) can be considered where it does not adversely affect the values being protected"
"3075","C182","Aggregate Extraction","No","
							 
						"
"3076","C182","Bait Fishing, Existing","Yes","Existing use permitted to continue, unless there are significant demonstrated conflicts."
"3077","C182","Bait Fishing, New","Maybe","New operations can be considered, subject to the 'test of compatibility'."
"3078","C182","Bear Hunting by Non-residents (guided), Existing","Yes","Existing authorized operations permitted to continue."
"3079","C182","Bear Hunting by Non-residents (guided), New","No","New operations not permitted."
"3080","C182","Commercial Fishing, Existing","Maybe","The activity does not presently occur."
"3081","C182","Commercial Fishing, New","No","
							 
						"
"3082","C182","Commercial Fur Harvesting, Existing","Yes","Existing use permitted to continue, unless there are significant demonstrated conflicts.  Existing trap cabins can continue."
"3083","C182","Commercial Fur Harvesting, New","Maybe","New cabins are not permitted.  New operations can be considered, subject to the 'test of compatibility'."
"3084","C182","Commercial Hydro Development","No","
							 
						"
"3085","C182","Commercial Power Generation Development","No","
							 
						"
"3086","C182","Commercial Timber Harvest","No","
							 
						"
"3087","C182","Commercial Tourism (Services and/or Facilities), Existing","Yes","Existing authorized facilities can continue, unless there are significant demonstrated conflicts."
"3088","C182","Commercial Tourism (Services and/or Facilities), New","Maybe","New tourism facilities can be considered during the planning for an individual reserve."
"3089","C182","Energy Transmission and Communications Corridors, Existing","Yes","These facilities should avoid conservation reserve lands wherever possible."
"3090","C182","Energy Transmission and Communications Corridors, New","No","
							 
						"
"3091","C182","Food Harvest (Commercial), Existing","Maybe","
							 
						"
"3092","C182","Food Harvest (Commercial), New","Maybe","
							 
						"
"3093","C182","Mineral Exploration and Development","No","
							 
						"
"3094","C182","Peat Extraction","No","
							 
						"
"3095","C182","Wild Rice Harvesting, Existing","Yes","
							 
						"
"3096","C182","Wild Rice Harvesting, New","Maybe","
							 
						"
"3097","C182","Crown Land Disposition, Commercial or Public Use","Maybe","Sale of lands is not permitted, except for minor dispositions in support of existing uses (e.g. reconstruction of a septic system).  Renewals of existing leases and land use permits are permitted.  Requests for transfer of tenure will be considered in th"
"3098","C182","Crown Land Disposition, Private Use","Maybe","Sale of lands is not permitted, except for minor dispositions in support of existing uses (e.g. reconstruction of a septic system).  Renewals of existing leases and land use permits are permitted.  Requests for transfer of tenure will be considered in th"
"3099","C182","Fire Suppression","Yes","Fire suppression policies are similar to adjacent Crown lands, unless alternative fire policies have been developed through a planning process."
"3100","C182","Fish Habitat Management","Maybe","
							 
						"
"3101","C182","Fish Stocking, Native Species","Maybe","Conservation Reserves policy indicates that 'featured species management' may be permitted."
"3102","C182","Insect/disease Suppression","Maybe","
							 
						"
"3103","C182","Inventory/Monitoring","Yes","
							 
						"
"3104","C182","Prescribed Burning","Maybe","
							 
						"
"3105","C182","Private Recreation Camp, Existing","Yes","Existing camps permitted to continue, and may be eligible for enhanced tenure, but not purchase of land."
"3106","C182","Private Recreation Camp, New","No","
							 
						"
"3107","C182","Road Development and Maintenance, Existing","Yes","Existing roads can continue to be used.  Continued use will include maintenance and may include future upgrading."
"3108","C182","Road Development and Maintenance, New","Maybe","New roads for resource extraction will not be permitted, with the exception of necessary access to existing forest reserves for mineral exploration and development."
"3109","C182","Vegetation Management","Maybe","Conservation Reserves policy indicates that Featured Species Management and Natural Systems Management may be permitted.  Vegetation management can be considered in a planning process."
"3110","C182","Wildlife Population Management","Maybe","
							 
						"
"3111","C182","All Terrain Vehicle Use, Off Trails","No","ATV off trails is not permitted except for direct retrieval of game."
"3112","C182","All Terrain Vehicle Use, On Trails","Yes","Existing use permitted to continue where it does not adversely affect the values being protected."
"3113","C182","Campgrounds","Maybe","
							 
						"
"3114","C182","Food Gathering","Yes","
							 
						"
"3115","C182","Horseback Riding (trail)","Yes","Existing use on trails permitted."
"3116","C182","Hunting","Yes","Hunting is permitted in accordance with the Fish and Wildlife Conservation Act and regulations.  For more information, visit https://www.ontario.ca/hunting.  Some municipalities have by-laws that apply to hunting including restricting the discharge of firearms. Check with the local municipal office for details."
"3117","C182","Motor Boat Use, Commercial","Yes","
							 
						"
"3118","C182","Motor Boat Use, Private","Yes","
							 
						"
"3119","C182","Mountain Bike Use","Yes","Existing use on trails permitted."
"3120","C182","Non-motorized Recreation Travel","Yes","
							 
						"
"3121","C182","Rock Climbing","Maybe","
							 
						"
"3122","C182","Snowmobiling, Off Trails","No","Except for the direct retrieval of game."
"3123","C182","Snowmobiling, On Trails","Yes","
							 
						"
"3124","C182","Sport Fishing","Yes","Recreational fishing is permitted in accordance with the Ontario Fishery Regulations. For more information, visit https://www.ontario.ca/fishing and review the Ontario Recreational Fishing Regulations Summary or Fish ON-Line to determine the seasons, catch limits and other restrictions that apply in this area including the location of fish sanctuaries."
"3125","C182","Trail Development, Existing","Yes","Existing authorized trails (e.g. hiking, skiing, snowmobiling) can continue unless there are significant demonstrated conflicts."
"3126","C182","Trail Development, New","Maybe","Development of trails for a variety of activities (e.g. hiking, cross-country skiing, cycling, horseback riding, snowmobiling) can be considered as part of planning for an individual reserve."
"3127","C327","Aggregate Extraction","No","
							 
						"
"3128","C327","Bait Fishing, Existing","Yes","Existing use permitted to continue, unless there are significant demonstrated conflicts."
"3129","C327","Bait Fishing, New","Maybe","New operations can be considered, subject to a Class EA for Provincial Parks and Conservation Reserves."
"3130","C327","Bear Hunting by Non-residents (guided), Existing","Yes","Existing authorized operations permitted to continue. Tranfers of existing BMAs are permitted."
"3131","C327","Bear Hunting by Non-residents (guided), New","No","New operations are not permitted."
"3132","C327","Commercial Fishing, Existing","No","No operations currently exist."
"3133","C327","Commercial Fishing, New","No","New operations are not permitted."
"3134","C327","Commercial Fur Harvesting, Existing","Yes","Existing use permitted to continue, unless there are significant demonstrated conflicts.  Existing trap cabins can continue."
"3135","C327","Commercial Fur Harvesting, New","Maybe","New cabins are not permitted.  New operations can be considered, subject to a Class EA for Provincial Parks and Conservation Reserves."
"3136","C327","Commercial Hydro Development","No","
							 
						"
"3137","C327","Commercial Power Generation Development","No","
							 
						"
"3138","C327","Commercial Timber Harvest","No","
							 
						"
"3139","C327","Commercial Tourism (Services and/or Facilities), Existing","Yes","Existing authorized facilities are permitted to continue, unless there are significant demonstrated conflicts."
"3140","C327","Commercial Tourism (Services and/or Facilities), New","No","New tourism facilities are not permitted except for those associated with the maintenace or re-location of existing infastructure.  Any such  changes must be considered through a Class EA for Provincial Parks and Conservation Reserves.  There will be no net increase in capacity for the site."
"3141","C327","Energy Transmission and Communications Corridors, Existing","Yes","These facilities should avoid conservation reserve lands wherever possible."
"3142","C327","Energy Transmission and Communications Corridors, New","No","These facilities should avoid conservation reserve lands wherever possible."
"3143","C327","Food Harvest (Commercial), Existing","No","None currently exists."
"3144","C327","Food Harvest (Commercial), New","No","New operations are not permitted."
"3145","C327","Mineral Exploration and Development","No","
							 
						"
"3146","C327","Peat Extraction","No","
							 
						"
"3147","C327","Wild Rice Harvesting, Existing","No","No commercial harvesting currently takes place."
"3148","C327","Wild Rice Harvesting, New","No","New harvesting operations are not permitted."
"3149","C327","Crown Land Disposition, Commercial or Public Use","No","Sale of lands is not permitted, except for minor dispositions in support of existing uses (i.e. reconstruction of a septic system).  Renewals of existing leases and land use permits are permitted.  Requests for transfer of tenure will be considered in the context of the Statement of Conservation Interest or Resource Management Plan.New leases or land use permits are not permitted.  Tourism facilities can apply to upgrade tenure from LUP to lease."
"3150","C327","Crown Land Disposition, Private Use","No","Sale of lands is not permitted, except for minor dispositions in support of existing uses (i.e. reconstruction of a septic system).  Renewals of existing leases and land use permits are permitted.  Requests for transfer of tenure will be considered in the context of the Statement of Conservation Interest or Resource Management Plan. New leases or land use permits are not permitted.  Tourism facilities can apply to upgrade tenure from LUP to lease."
"3151","C327","Fire Suppression","Yes","Fire suppression policies are similar to adjacent Crown lands, unless alternative fire policies have been developed through a planning process."
"3152","C327","Fish Habitat Management","Maybe","
							 
						"
"3153","C327","Fish Stocking, Native Species","Maybe","Conservation reserve policy indicates that ""featured species management"" may be permitted subject to the Class EA."
"3154","C327","Insect/disease Suppression","Maybe","
							 
						"
"3155","C327","Inventory/Monitoring","Yes","
							 
						"
"3156","C327","Prescribed Burning","Maybe","
							 
						"
"3157","C327","Private Recreation Camp, Existing","Yes","Existing camps permitted to continue, and may be eligible for enhanced tenure, but not purchase of land."
"3158","C327","Private Recreation Camp, New","No","
							 
						"
"3159","C327","Road Development and Maintenance, Existing","Yes","Existing roads can continue to be used.  Continued use will include maintenance and may include future upgrading."
"3160","C327","Road Development and Maintenance, New","No","New roads for resource extraction will not be permitted, with the exception of necessary access to mining claims and leases for future mineral exploration and/or development subject to the Class EA."
"3161","C327","Vegetation Management","Maybe","Conservation Reserves policy indicates that Featured Species Management and Natural Systems Management may be permitted.  Vegetation management can be considered in a planning process."
"3162","C327","Wildlife Population Management","Maybe","
							 
						"
"3163","C327","All Terrain Vehicle Use, Off Trails","No","ATV off trails is not permitted except for direct retrieval of game."
"3164","C327","All Terrain Vehicle Use, On Trails","Yes","Existing use permitted to continue where it does not adversely affect the values being protected.  ATV use off trails is not permitted, except for direct retrieval of game."
"3165","C327","Campgrounds","No","New campgrounds will not be permitted."
"3166","C327","Food Gathering","Yes","
							 
						"
"3167","C327","Horseback Riding (trail)","Yes","Existing use on trails permitted."
"3168","C327","Hunting","Yes","Hunting is permitted in accordance with the Fish and Wildlife Conservation Act and regulations.  For more information, visit https://www.ontario.ca/hunting.  Some municipalities have by-laws that apply to hunting including restricting the discharge of firearms. Check with the local municipal office for details."
"3169","C327","Motor Boat Use, Commercial","Yes","
							 
						"
"3170","C327","Motor Boat Use, Private","Yes","
							 
						"
"3171","C327","Mountain Bike Use","Yes","Existing use on trails permitted."
"3172","C327","Non-motorized Recreation Travel","Yes","
							 
						"
"3173","C327","Rock Climbing","Maybe","
							 
						"
"3174","C327","Snowmobiling, Off Trails","No","Except for the direct retrieval of game."
"3175","C327","Snowmobiling, On Trails","Yes","Existing use permitted to continue where it does not adversely affect the values being protected."
"3176","C327","Sport Fishing","Yes","Recreational fishing is permitted in accordance with the Ontario Fishery Regulations. For more information, visit https://www.ontario.ca/fishing and review the Ontario Recreational Fishing Regulations Summary or Fish ON-Line to determine the seasons, catch limits and other restrictions that apply in this area including the location of fish sanctuaries."
"3177","C327","Trail Development, Existing","Yes","Existing trails will be permitted to continue."
"3178","C327","Trail Development, New","No","New trail development is not permitted."
"3179","C247","Aggregate Extraction","No","Prohibited under Conservation Reserves Policy."
"3180","C247","Bait Fishing, Existing","Yes","Present activity permitted to continue, unless there are significant demonstrated conflicts."
"3181","C247","Bait Fishing, New","Maybe","New operations can be considered, subject to the Test of Compatibility and other applicable MNR policies and procedures."
"3182","C247","Bear Hunting by Non-residents (guided), Existing","Yes","Existing authorized operations permitted to continue. Transfer of a BMA may be permitted where the current operator sells their business to another operator and the transfer is approved."
"3183","C247","Bear Hunting by Non-residents (guided), New","No","New operations not permitted in accordance with Conservation Reserves Policy."
"3184","C247","Commercial Fishing, Existing","Yes","Activity does not presently occur within the site."
"3185","C247","Commercial Fishing, New","Maybe","New operations can be considered, subject to the Test of Compatibility and other applicable MNR policies and procedures."
"3186","C247","Commercial Fur Harvesting, Existing","Yes","Existing authorized activity permitted to continue, unless there are significant demonstrated conflicts.    Transfer of a registered trapline area may be permitted following established allocation procedures. No trap cabins exist within this site."
"3187","C247","Commercial Fur Harvesting, New","Maybe","New cabins are not permitted in accordance with Conservation Reserves Policy."
"3188","C247","Commercial Hydro Development","No","Prohibited under Conservation Reserves Policy"
"3189","C247","Commercial Power Generation Development","No","Prohibited under Conservation Reserves Policy"
"3190","C247","Commercial Timber Harvest","No","Total area contained within this conservation reserve has been withdrawn from the Northshore Sustainable Forest License area and no commercial timber harvesting will be permitted."
"3191","C247","Commercial Tourism (Services and/or Facilities), Existing","Yes","No tourism facilities or services exist within this site."
"3192","C247","Commercial Tourism (Services and/or Facilities), New","Maybe","New tourism operations can be considered, subject to the Test of Compatibility and other applicable MNR policies and procedures.  Refer to Crown Land Disposition section below for more detail."
"3193","C247","Energy Transmission and Communications Corridors, Existing","Yes","No corridor facilities exist within this conservation reserve."
"3194","C247","Energy Transmission and Communications Corridors, New","No","New facilities should avoid conservation reserve lands wherever possible, in accordance with Conservation Reserves Policy."
"3195","C247","Food Harvest (Commercial), Existing","Maybe","No commercial food harvesting ventures occur within this site."
"3196","C247","Food Harvest (Commercial), New","Maybe","New ventures require permits from the MNR and will be subject to the Test of Compatibility and other applicable MNR policies and procedures."
"3197","C247","Mineral Exploration and Development","No","Mining and surface rights have been withdrawn from staking under the Mining Act.  Mineral exploration is prohibited."
"3198","C247","Peat Extraction","No","Prohibited under Conservation Reserves Policy."
"3199","C247","Wild Rice Harvesting, Existing","Yes","No existing harvesting ventures occur within this conservation reserve."
"3200","C247","Wild Rice Harvesting, New","Maybe","No known opportunity exists within this site."
"3201","C247","Crown Land Disposition, Commercial or Public Use","Maybe","No land use permits (LUPs) or leases have been issued for commercial use within this site.  "
"3202","C247","Crown Land Disposition, Private Use","No","No land use permits (LUPs) or leases have been issued for private within this site. "
"3203","C247","Fire Suppression","Yes","
							 
						"
"3204","C247","Fish Habitat Management","Maybe","
							 
						"
"3205","C247","Fish Stocking, Native Species","Maybe","Conservation Reserves Policy indicates that Featured Species Management may be permitted. Please refer to Fish Habitat Management section above for more details."
"3206","C247","Insect/disease Suppression","Maybe","This conservation reserve will be maintained in as natural a state as possible.  Control measures should only be considered if the identified values of the site are significantly threatened."
"3207","C247","Inventory/Monitoring","Maybe","Proposals will be subject to the Test of Compatibility and other applicable MNR policies and procedures.  Refer to Research section below for more detail."
"3208","C247","Prescribed Burning","Maybe","Opportunities for prescribed burning to achieve ecological or resource management objectives may be considered.  These objectives will be developed with public consultation and in accordance with applicable MNR policies and procedures."
"3209","C247","Private Recreation Camp, Existing","Yes","There are no existing private recreation camps within this site. "
"3210","C247","Private Recreation Camp, New","No","Issuance of new tenure for private purposes not permitted in accordance with Conservation Reserves Policy.  Refer to Crown Land Disposition section above for more detail."
"3211","C247","Road Development and Maintenance, Existing","Yes","There are no existing resource access roads in this site."
"3212","C247","Road Development and Maintenance, New","No","New resource access roads will not be permitted. "
"3213","C247","Vegetation Management","Maybe","
							 
						"
"3214","C247","Wildlife Population Management","Maybe","
							 
						"
"3215","C247","All Terrain Vehicle Use, Off Trails","No","Off-trail use of ATVs is not permitted except for direct retrieval of big game by hunters."
"3216","C247","All Terrain Vehicle Use, On Trails","Yes","Use of existing roads and trails permitted to continue unless the MNR determines that the activities are negatively impacting the site's protected values."
"3217","C247","Campgrounds","Maybe","There are no maintained campsites or campgrounds within this site.  Crown land camping policies apply, unless significant adverse effects on protected values necessitate further planning and management for this activity."
"3218","C247","Food Gathering","Yes","Existing and new uses permitted, provided that values being protected are not jeopardized."
"3219","C247","Horseback Riding (trail)","Yes","Use of existing trails permitted."
"3220","C247","Hunting","Yes","Hunting is permitted in accordance with the Fish and Wildlife Conservation Act and regulations.  For more information, visit https://www.ontario.ca/hunting.  Some municipalities have by-laws that apply to hunting including restricting the discharge of firearms. Check with the local municipal office for details."
"3221","C247","Motor Boat Use, Commercial","Yes","Existing and new boating activity permitted, unless there are significant demonstrated conflicts on the site's protected values."
"3222","C247","Motor Boat Use, Private","Yes","Existing and new boating activity permitted, unless there are significant demonstrated conflicts on the site's protected values."
"3223","C247","Mountain Bike Use","Yes","Use of existing trails permitted."
"3224","C247","Non-motorized Recreation Travel","Yes","
							 
						"
"3225","C247","Rock Climbing","Maybe","Existing and new uses permitted, provided that values being protected are not jeopardized."
"3226","C247","Snowmobiling, Off Trails","No","Off-trail snowmobile use is not permitted except for the direct retrieval of big game by hunters."
"3227","C247","Snowmobiling, On Trails","Yes","Use of existing authorized trails is permitted to continue provided that values being protected are not jeopardized."
"3228","C247","Sport Fishing","Yes","Recreational fishing is permitted in accordance with the Ontario Fishery Regulations. For more information, visit https://www.ontario.ca/fishing and review the Ontario Recreational Fishing Regulations Summary or Fish ON-Line to determine the seasons, catch limits and other restrictions that apply in this area including the location of fish sanctuaries."
"3229","C247","Trail Development, Existing","Yes","Existing use of authorized trails can continue unless there are significant demonstrated conflicts with the site's protected values."
"3230","C247","Trail Development, New","Maybe","Any proposed new trails will be subject to the Test of Compatibility and other applicable MNR policies and procedures. Locations of all trail heads and trail routes must be recorded using new technologies (ie. global positioning systems) and be provided"
"3231","C1600","Aggregate Extraction","No","
							 
						"
"3232","C1600","Bait Fishing, Existing","Yes","Existing use permitted to continue, unless there are significant demonstrated conflicts."
"3233","C1600","Bait Fishing, New","Maybe","New operations can be considered, subject to the 'test of compatibility'."
"3234","C1600","Bear Hunting by Non-residents (guided), Existing","Yes","Existing authorized operations permitted to continue."
"3235","C1600","Bear Hunting by Non-residents (guided), New","No","New operations not permitted."
"3236","C1600","Commercial Fishing, Existing","Yes","Existing use permitted to continue, unless there are significant demonstrated conflicts."
"3237","C1600","Commercial Fishing, New","Maybe","New operations can be considered, subject to the 'test of compatibility'."
"3238","C1600","Commercial Fur Harvesting, Existing","Yes","Existing use permitted to continue, unless there are significant demonstrated conflicts.  Existing trap cabins can continue."
"3239","C1600","Commercial Fur Harvesting, New","Maybe","New cabins are not permitted.  New operations can be considered, subject to the 'test of compatibility'."
"3240","C1600","Commercial Hydro Development","No","
							 
						"
"3241","C1600","Commercial Power Generation Development","No","
							 
						"
"3242","C1600","Commercial Timber Harvest","No","
							 
						"
"3243","C1600","Commercial Tourism (Services and/or Facilities), Existing","Yes","Existing authorized facilities can continue, unless there are significant demonstrated conflicts."
"3244","C1600","Commercial Tourism (Services and/or Facilities), New","Maybe","New tourism facilities can be considered during the planning for an individual reserve."
"3245","C1600","Energy Transmission and Communications Corridors, Existing","Yes","These facilities should avoid conservation reserve lands wherever possible."
"3246","C1600","Energy Transmission and Communications Corridors, New","No","
							 
						"
"3247","C1600","Food Harvest (Commercial), Existing","Maybe","
							 
						"
"3248","C1600","Food Harvest (Commercial), New","Maybe","
							 
						"
"3249","C1600","Mineral Exploration and Development","No","
							 
						"
"3250","C1600","Peat Extraction","No","
							 
						"
